edge_id,risk,risk_dark,incident_count
180,8.0,10.0,4
298,2.0,2.0,1
467,2.0,2.0,1
549,3.0,4.5,1
574,7.0,8.0,3
686,3.0,3.0,1
1560,2.0,2.0,1
2019,2.0,3.0,1
2197,6.5,9.75,1
2207,5.0,5.0,1
2237,5.0,5.0,1
2244,3.0,4.5,1
2373,2.0,2.0,1
2412,3.0,3.0,1
2419,11.0,15.0,3
2422,3.0,3.0,1
2425,3.0,4.5,1
2455,2.0,2.0,1
2469,5.0,5.0,2
2560,3.0,3.0,1
2821,5.0,7.5,1
2846,5.0,7.5,1
2861,5.0,5.0,1
2947,5.0,5.0,1
3539,5.0,5.0,1
3541,3.9000000000000004,5.8500000000000005,1
3803,5.0,5.0,1
4009,2.0,3.0,1
4028,3.9000000000000004,5.8500000000000005,1
4031,3.0,4.5,1
4034,5.0,7.5,1
4348,5.0,5.0,1
4418,2.0,2.0,1
4425,2.0,3.0,1
4845,3.9000000000000004,3.9000000000000004,1
4875,3.9000000000000004,3.9000000000000004,1
4876,6.5,6.5,1
4878,2.6,3.9000000000000004,1
5126,3.9000000000000004,5.8500000000000005,1
5244,2.0,3.0,1
5623,10.0,15.0,1
5624,3.0,3.0,1
5643,3.0,3.0,1
5665,5.0,5.0,1
5731,5.0,7.5,1
5733,3.0,3.0,1
5746,2.0,3.0,1
5747,6.5,6.5,1
5868,2.0,2.0,1
6214,3.0,3.0,1
6378,12.0,13.0,2
6611,2.0,2.0,1
6618,3.0,4.5,1
6725,3.0,3.0,1
6791,3.9000000000000004,5.8500000000000005,1
6859,3.0,4.5,1
6946,2.0,3.0,1
6984,2.0,3.0,1
7301,5.0,5.0,1
8478,3.9000000000000004,5.8500000000000005,1
8553,3.0,3.0,1
8810,6.0,7.5,2
9359,13.0,16.25,2
9448,2.0,2.0,1
9453,8.0,8.0,2
10633,3.0,3.0,1
10841,3.9000000000000004,3.9000000000000004,1
11113,2.0,3.0,1
11222,3.0,4.5,1
11464,5.0,5.0,1
11538,2.0,2.0,1
11547,5.0,5.0,1
11586,5.0,5.0,1
11686,5.0,7.5,1
11752,6.5,6.5,1
11763,6.5,9.75,1
11836,5.0,5.0,1
11842,3.9000000000000004,3.9000000000000004,1
11857,2.6,2.6,1
12797,3.9000000000000004,5.8500000000000005,1
12800,3.9000000000000004,3.9000000000000004,1
13581,3.0,3.0,1
13699,3.0,3.0,1
13742,2.6,2.6,1
13946,2.0,3.0,1
14081,2.0,2.0,1
14146,6.5,9.75,1
14182,5.0,5.0,1
14234,5.0,5.0,1
15083,5.0,5.0,1
15471,3.0,4.5,1
16076,2.0,2.0,1
16100,5.0,7.5,1
16407,10.0,10.0,1
16539,5.0,5.0,1
16585,10.0,10.0,2
16907,2.0,3.0,1
16946,5.0,5.0,1
17518,6.0,7.5,2
18681,2.0,2.0,1
18756,6.5,6.5,1
18769,10.0,10.0,2
18898,2.6,2.6,1
19150,6.5,9.75,1
19237,5.0,5.0,1
19860,5.0,5.0,1
20054,3.9000000000000004,5.8500000000000005,1
20656,6.0,7.5,2
20676,5.0,5.0,1
21432,5.0,7.5,1
21829,8.0,9.5,2
22488,3.0,4.5,1
22489,3.0,4.5,1
22577,13.0,13.0,3
22630,6.5,6.5,1
22631,6.5,6.5,1
22640,3.0,3.0,1
23027,2.0,2.0,1
23166,3.9000000000000004,3.9000000000000004,1
23170,6.5,6.5,1
23342,3.0,3.0,1
23446,6.5,6.5,1
23449,6.5,6.5,1
23450,13.0,13.0,1
23724,5.0,7.5,1
23874,3.0,4.5,1
24142,3.0,3.0,1
24248,5.0,5.0,1
24297,5.0,5.0,1
24503,6.5,6.5,1
25037,3.0,3.0,1
25054,2.0,2.0,1
25084,3.0,4.5,1
25111,2.0,3.0,1
25347,6.5,6.5,1
25582,5.0,5.0,1
25611,5.0,5.0,1
26041,2.0,3.0,1
26301,5.0,5.0,1
27241,3.0,4.5,1
27942,5.0,5.0,1
28253,6.5,6.5,1
29594,10.0,10.0,2
29747,5.0,5.0,1
29748,10.0,10.0,1
30771,2.0,2.0,1
30880,5.0,7.5,1
30885,5.0,7.5,1
